province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Vietnam,2020-03-21,14.0583,108.2772,POINT(108.2772 14.0583),94,0,17,,,,
,Cambodia,2020-03-21,12.5657,104.991,POINT(104.991 12.5657),53,0,1,,,,
,East Timor,2020-03-21,-8.55,125.56,POINT(125.56 -8.55),1,0,0,,,,
,Malaysia,2020-03-22,4.210484,101.975766,POINT(101.975766 4.210484),1306,10,139,1157,,,Malaysia
,Thailand,2020-03-02,15.0,101.0,POINT(101 15),43,1,31,,,,
,Malaysia,2020-03-02,2.5,112.5,POINT(112.5 2.5),29,0,18,,,,
,Vietnam,2020-03-02,16.0,108.0,POINT(108 16),16,0,16,,,,
,Philippines,2020-03-02,13.0,122.0,POINT(122 13),3,1,1,,,,
,Malaysia,2020-03-12,2.5,112.5,POINT(112.5 2.5),149,0,26,,,,
,Thailand,2020-03-12,15.87,100.9925,POINT(100.9925 15.87),70,1,34,,,,
,Philippines,2020-03-12,12.8797,121.774,POINT(121.774 12.8797),52,2,2,,,,
,Vietnam,2020-03-12,16.0,108.0,POINT(108 16),39,0,16,,,,
,Cambodia,2020-03-12,12.5657,104.991,POINT(104.991 12.5657),3,0,1,,,,
,Malaysia,2020-03-15,4.2105,101.9758,POINT(101.9758 4.2105),428,0,42,,,,
,Singapore,2020-03-15,1.3521,103.8198,POINT(103.8198 1.3521),226,0,105,,,,
,Philippines,2020-03-15,12.8797,121.774,POINT(121.774 12.8797),140,11,2,,,,
,Thailand,2020-03-15,15.87,100.9925,POINT(100.9925 15.87),114,1,35,,,,
,Vietnam,2020-03-15,14.0583,108.2772,POINT(108.2772 14.0583),56,0,16,,,,
,Cambodia,2020-03-15,12.5657,104.991,POINT(104.991 12.5657),7,0,1,,,,
,Malaysia,2020-03-06,2.5,112.5,POINT(112.5 2.5),83,0,22,,,,
,Thailand,2020-03-06,15.0,101.0,POINT(101 15),48,1,31,,,,
,Vietnam,2020-03-06,16.0,108.0,POINT(108 16),16,0,16,,,,
,Philippines,2020-03-06,13.0,122.0,POINT(122 13),5,1,1,,,,
,Malaysia,2020-03-08,2.5,112.5,POINT(112.5 2.5),99,0,24,,,,
,Thailand,2020-03-08,15.0,101.0,POINT(101 15),50,1,31,,,,
,Vietnam,2020-03-08,16.0,108.0,POINT(108 16),30,0,16,,,,
,Philippines,2020-03-08,13.0,122.0,POINT(122 13),10,1,1,,,,
,Malaysia,2020-03-28,4.210484,101.975766,POINT(101.975766 4.210484),2320,27,320,1973,,,Malaysia
,Malaysia,2020-04-04,4.210484,101.975766,POINT(101.975766 4.210484),3483,57,915,2511,,,Malaysia
,Malaysia,2020-03-11,2.5,112.5,POINT(112.5 2.5),149,0,26,,,,
,Thailand,2020-03-11,15.87,100.9925,POINT(100.9925 15.87),59,1,34,,,,
,Philippines,2020-03-11,12.8797,121.774,POINT(121.774 12.8797),49,1,2,,,,
,Vietnam,2020-03-11,16.0,108.0,POINT(108 16),38,0,16,,,,
,Cambodia,2020-03-11,12.5657,104.991,POINT(104.991 12.5657),3,0,1,,,,
,Malaysia,2020-03-10,2.5,112.5,POINT(112.5 2.5),129,0,24,,,,
,Thailand,2020-03-10,15.87,100.9925,POINT(100.9925 15.87),53,1,33,,,,
,Philippines,2020-03-10,12.8797,121.774,POINT(121.774 12.8797),33,1,2,,,,
,Malaysia,2020-03-20,4.2105,101.9758,POINT(101.9758 4.2105),1030,3,87,,,,
,Singapore,2020-03-20,1.3521,103.8198,POINT(103.8198 1.3521),385,0,124,,,,
,Thailand,2020-03-20,15.87,100.9925,POINT(100.9925 15.87),322,1,42,,,,
,Philippines,2020-03-20,12.8797,121.774,POINT(121.774 12.8797),230,18,8,,,,
,Vietnam,2020-03-20,14.0583,108.2772,POINT(108.2772 14.0583),91,0,16,,,,
,Cambodia,2020-03-20,12.5657,104.991,POINT(104.991 12.5657),51,0,1,,,,
,Malaysia,2020-03-09,2.5,112.5,POINT(112.5 2.5),117,0,24,,,,
,Thailand,2020-03-09,15.0,101.0,POINT(101 15),50,1,31,,,,
,Vietnam,2020-03-09,16.0,108.0,POINT(108 16),30,0,16,,,,
,Philippines,2020-03-09,13.0,122.0,POINT(122 13),20,1,1,,,,
,Malaysia,2020-03-29,4.210484,101.975766,POINT(101.975766 4.210484),2470,35,388,2047,,,Malaysia
Unknown,Malaysia,2022-06-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-05,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-04,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-25,,,,91,0,53,,,,
,Thailand,2020-02-25,,,,37,0,22,,,,
,Malaysia,2020-02-25,,,,22,0,18,,,,
,Vietnam,2020-02-25,,,,16,0,16,,,,
,Philippines,2020-02-25,,,,3,1,1,,,,
,Cambodia,2020-02-25,,,,1,0,1,,,,
Unknown,Malaysia,2022-05-20,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-02-02,,,,19,0,5,,,,
,Singapore,2020-02-02,,,,18,0,0,,,,
,Malaysia,2020-02-02,,,,8,0,0,,,,
,Vietnam,2020-02-02,,,,6,0,1,,,,
,Philippines,2020-02-02,,,,2,1,0,,,,
,Cambodia,2020-02-02,,,,1,0,0,,,,
Unknown,Malaysia,2022-03-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-18,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-15,,,,72,0,18,,,,
,Thailand,2020-02-15,,,,33,0,12,,,,
,Malaysia,2020-02-15,,,,22,0,7,,,,
,Vietnam,2020-02-15,,,,16,0,7,,,,
,Philippines,2020-02-15,,,,3,1,1,,,,
,Cambodia,2020-02-15,,,,1,0,1,,,,
,Singapore,2020-02-12,,,,50,0,15,,,,
,Thailand,2020-02-12,,,,33,0,10,,,,
,Malaysia,2020-02-12,,,,18,0,3,,,,
,Vietnam,2020-02-12,,,,15,0,6,,,,
,Philippines,2020-02-12,,,,3,1,1,,,,
,Cambodia,2020-02-12,,,,1,0,1,,,,
Unknown,Malaysia,2021-11-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-27,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-22,,,,85,0,37,,,,
,Thailand,2020-02-22,,,,35,0,17,,,,
,Malaysia,2020-02-22,,,,22,0,15,,,,
,Vietnam,2020-02-22,,,,16,0,14,,,,
,Philippines,2020-02-22,,,,3,1,1,,,,
,Cambodia,2020-02-22,,,,1,0,1,,,,
Unknown,Malaysia,2022-08-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-30,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-01-27,,,,8,,2,,,,
,Singapore,2020-01-27,,,,5,,,,,,
,Vietnam,2020-01-27,,,,2,,,,,,
,Malaysia,2020-01-27,,,,4,,,,,,
,Cambodia,2020-01-27,,,,1,,,,,,
Unknown,Malaysia,2022-02-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-22,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-20,,,,84,0,34,,,,
,Thailand,2020-02-20,,,,35,0,15,,,,
,Malaysia,2020-02-20,,,,22,0,15,,,,
,Vietnam,2020-02-20,,,,16,0,7,,,,
,Philippines,2020-02-20,,,,3,1,1,,,,
,Cambodia,2020-02-20,,,,1,0,1,,,,
Unknown,Malaysia,2022-04-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-05,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-05,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-01-29,,,,14,,5,,,,
,Singapore,2020-01-29,,,,7,,,,,,
,Vietnam,2020-01-29,,,,2,,,,,,
,Malaysia,2020-01-29,,,,7,,,,,,
,Cambodia,2020-01-29,,,,1,,,,,,
,Singapore,2020-02-05,,,,28,0,0,,,,
,Thailand,2020-02-05,,,,25,0,5,,,,
,Malaysia,2020-02-05,,,,12,0,0,,,,
,Vietnam,2020-02-05,,,,8,0,1,,,,
,Philippines,2020-02-05,,,,2,1,0,,,,
,Cambodia,2020-02-05,,,,1,0,0,,,,
Unknown,Malaysia,2022-01-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-15,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-02-04,,,,25,0,5,,,,
,Singapore,2020-02-04,,,,24,0,0,,,,
,Malaysia,2020-02-04,,,,10,0,0,,,,
,Vietnam,2020-02-04,,,,8,0,1,,,,
,Philippines,2020-02-04,,,,2,1,0,,,,
,Cambodia,2020-02-04,,,,1,0,0,,,,
Unknown,Malaysia,2022-06-13,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-14,,,,67,0,17,,,,
,Thailand,2020-02-14,,,,33,0,12,,,,
,Malaysia,2020-02-14,,,,19,0,3,,,,
,Vietnam,2020-02-14,,,,16,0,7,,,,
,Philippines,2020-02-14,,,,3,1,1,,,,
,Cambodia,2020-02-14,,,,1,0,1,,,,
Unknown,Malaysia,2021-12-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-06,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-01-22,,,,2,,,,,,
Unknown,Malaysia,2022-05-11,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-27,,,,93,0,62,,,,
,Thailand,2020-02-27,,,,40,0,22,,,,
,Malaysia,2020-02-27,,,,23,0,18,,,,
,Vietnam,2020-02-27,,,,16,0,16,,,,
,Philippines,2020-02-27,,,,3,1,1,,,,
,Cambodia,2020-02-27,,,,1,0,1,,,,
Unknown,Malaysia,2022-07-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-21,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-26,,,,93,0,62,,,,
,Thailand,2020-02-26,,,,40,0,22,,,,
,Malaysia,2020-02-26,,,,22,0,18,,,,
,Vietnam,2020-02-26,,,,16,0,16,,,,
,Philippines,2020-02-26,,,,3,1,1,,,,
,Cambodia,2020-02-26,,,,1,0,1,,,,
Unknown,Malaysia,2022-05-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-12,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-01-28,,,,14,,5,,,,
,Singapore,2020-01-28,,,,7,,,,,,
,Vietnam,2020-01-28,,,,2,,,,,,
,Malaysia,2020-01-28,,,,4,,,,,,
,Cambodia,2020-01-28,,,,1,,,,,,
Unknown,Malaysia,2022-09-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-30,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-28,,,,93,0,62,,,,
,Thailand,2020-02-28,,,,41,0,28,,,,
,Malaysia,2020-02-28,,,,23,0,18,,,,
,Vietnam,2020-02-28,,,,16,0,16,,,,
,Philippines,2020-02-28,,,,3,1,1,,,,
,Cambodia,2020-02-28,,,,1,0,1,,,,
Unknown,Malaysia,2022-06-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-05,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-15,,,,0,0,,,,,"Unknown, Malaysia"
,Thailand,2020-01-23,,,,3,,,,,,
,Singapore,2020-01-23,,,,1,,,,,,
,Philippines,2020-01-23,,,,,,,,,,
,Malaysia,2020-01-23,,,,,,,,,,
,Vietnam,2020-01-23,,,,2,,,,,,
Unknown,Malaysia,2022-06-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-16,,,,0,0,,,,,"Unknown, Malaysia"
